강원특별자치도 강릉시 지변동,334,334,0,덕원임대,33.471,202306,22,"6,100",2,1998,죽헌길85번길 25,,중개거래,강릉시
강원특별자치도 강릉시 초당동,135-1,135,1,이화해변아파트(B~D동),29.82,202306,3,"8,000",4,1988,초당원길 21,,중개거래,강릉시
강원특별자치도 강릉시 초당동,135-1,135,1,이화해변아파트(B~D동),29.82,202306,29,"6,500",5,1988,초당원길 21,,중개거래,강릉시
강원특별자치도 강릉시 초당동,128,128,0,현대,59.875,202306,19,"11,000",3,1995,초당원길 26-2,,중개거래,강릉시
강원특별자치도 강릉시 초당동,128,128,0,현대,74.52,202306,23,"19,500",1,1995,초당원길 26-2,,중개거래,강릉시
강원특별자치도 강릉시 초당동,128,128,0,현대,59.875,202306,26,"17,400",5,1995,초당원길 26-2,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1114-4,1114,4,강릉6,59.8,202306,14,"10,000",2,1989,강릉대로359번길 4,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1117,1117,0,강릉역동도센트리움,40.454,202306,17,"21,800",22,2023,강릉대로 337-5,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1005-249,1005,249,강부1,55.41,202306,26,"9,600",1,1987,경강로2256번길 8,,직거래,-
강원특별자치도 강릉시 포남동,1005-248,1005,248,동남,54.945,202306,21,"12,600",2,1985,경강로2256번길 12,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1005-248,1005,248,동남,54.945,202306,29,"12,800",2,1985,경강로2256번길 12,,중개거래,강릉시
강원특별자치도 강릉시 포남동,898-17,898,17,삼우골든맨션,70.83,202306,3,"25,000",3,1991,용지각길20번길 8,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1293-1,1293,1,일송,59.135,202306,9,"17,400",10,1995,하평3길 37,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1293-1,1293,1,일송,59.135,202306,9,"16,700",10,1995,하평3길 37,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1293-1,1293,1,일송,58.87,202306,21,"16,400",8,1995,하평3길 37,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1293-1,1293,1,일송,59.135,202306,21,"16,500",9,1995,하평3길 37,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1293-1,1293,1,일송,59.135,202306,30,"18,100",14,1995,하평3길 37,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1065,1065,0,포남1주공,42.54,202306,5,"12,500",5,1981,보래미상길 65,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1065,1065,0,포남1주공,41.99,202306,9,"11,000",2,1981,보래미상길 65,,중개거래,강릉시
강원특별자치도 강릉시 포남동,1200,1200,0,포남2주공,39.69,202306,17,"10,300",5,1989,산양큰길 37,,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1007,1007,0,강릉홍제힐스테이트,127.802,202306,5,"43,500",14,2007,토성로 39,,직거래,-
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.78,202306,6,"30,500",16,2018,선수촌로 10,,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.78,202306,15,"31,000",16,2018,선수촌로 10,,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1037,1037,0,우미린아파트,78.4089,202306,29,"40,400",6,2016,선수촌로 55,,중개거래,강릉시
강원특별자치도 강릉시 홍제동,122,122,0,우산,33.225,202306,2,"6,900",12,1997,토성로 51,,중개거래,강릉시
강원특별자치도 강릉시 홍제동,122,122,0,우산,33.225,202306,10,"6,700",13,1997,토성로 51,,중개거래,강릉시
강원특별자치도 강릉시 홍제동,122,122,0,우산,50.445,202306,30,"9,500",14,1997,토성로 51,,직거래,-
강원특별자치도 강릉시 홍제동,1055,1055,0,홍제한신휴플러스,59.96,202306,5,"29,000",8,2015,토성로 56,,중개거래,강릉시
강원특별자치도 강릉시 회산동,608,608,0,강릉서희스타힐스리버파크,59.928,202306,14,"26,200",17,2017,회산로 344,,중개거래,강릉시
강원특별자치도 강릉시 회산동,130,130,0,힐스테이트강릉,84.9925,202306,23,"40,000",13,2018,회산로383번길 37,,중개거래,강릉시
강원특별자치도 고성군 간성읍 상리,483-1,483,1,간성대명,59.4,202306,21,"9,700",9,1998,수성로 126-5,,직거래,-
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,59.68,202306,1,"12,500",13,1998,남천마루2길 6,,중개거래,고성군
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,59.68,202306,2,"11,450",3,1998,남천마루2길 6,,중개거래,고성군
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,59.68,202306,9,"12,800",13,1998,남천마루2길 6,,중개거래,고성군
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,39.36,202306,22,"6,600",1,1998,남천마루2길 6,,중개거래,고성군
강원특별자치도 고성군 토성면 천진리,476,476,0,고성천진한신더휴,84.9721,202306,20,"33,750",9,2021,천진7길 29,,중개거래,속초시
강원특별자치도 고성군 토성면 천진리,476,476,0,고성천진한신더휴,75.7237,202306,24,"35,000",23,2021,천진7길 29,,중개거래,고성군
강원특별자치도 동해시 구미동,521,521,0,현진,50.86,202306,2,"7,000",12,1995,1,,중개거래,강원 동해시
강원특별자치도 동해시 대진동,02월 02일,2,2,화목썬빌리지,84.863,202306,19,"17,000",4,2015,일출로 432,,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,"대동1,2차",45,202306,7,"6,800",7,1995,청운1길 29,,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,"대동1,2차",59.3575,202306,10,"9,500",14,1995,청운1길 29,,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,"대동1,2차",59.97,202306,17,"8,900",10,1995,청운1길 29,,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,대동3차,45,202306,19,"6,900",8,1996,청운1길 29,,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,대동3차,45,202306,27,"5,500",1,1996,청운1길 29,,직거래,-
강원특별자치도 동해시 동회동,457,457,0,북삼2차웰메이드타운,84.6872,202306,6,"29,800",4,2019,효자로 636-2,,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,북삼코아루,134.98,202306,17,"28,000",3,2007,청운1길 29,,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대4차,73.4675,202306,3,"11,700",9,1998,청운1길 29,20230613,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대4차,73.4675,202306,3,"11,700",9,1998,청운1길 29,,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대4차,73.4675,202306,19,"11,800",4,1998,청운1길 29,,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대5차,77.7562,202306,4,"14,500",16,1999,29,,중개거래,강원 동해시
강원특별자치도 동해시 동회동,442,442,0,현대5차,134.783,202306,10,"23,000",19,1999,청운1길 29,,중개거래,동해시
강원특별자치도 동해시 발한동,599-45,599,45,경민1차,53.14,202306,3,"5,950",3,1990, 18-13,,중개거래,강원 동해시
강원특별자치도 동해시 발한동,516,516,0,범주성지,66.73,202306,14,"5,000",1,1992,동호3길 55,,중개거래,동해시
강원특별자치도 동해시 발한동,599-32,599,32,우석2차,41.25,202306,7,"3,450",4,1987,수원지2길 17-8,,중개거래,동해시
강원특별자치도 동해시 발한동,801,801,0,현대비에스앤씨현대썬앤빌동해파크힐,75.5994,202306,2,"23,500",2,2018,지리골길 31,,중개거래,동해시
강원특별자치도 동해시 발한동,801,801,0,현대비에스앤씨현대썬앤빌동해파크힐,59.8993,202306,9,"22,000",9,2018,지리골길 31,,직거래,-
강원특별자치도 동해시 발한동,801,801,0,현대비에스앤씨현대썬앤빌동해파크힐,75.5994,202306,21,"29,000",18,2018,지리골길 31,,중개거래,동해시
강원특별자치도 동해시 발한동,801,801,0,현대비에스앤씨현대썬앤빌동해파크힐,75.5994,202306,30,"26,800",10,2018,지리골길 31,,중개거래,동해시
강원특별자치도 동해시 부곡동,Jan-73,73,1,동해,57.43,202306,10,"6,000",4,1981,가마골길 42-10,,중개거래,동해시
강원특별자치도 동해시 부곡동,Jan-73,73,1,동해,57.43,202306,10,"6,000",4,1981,가마골길 42-10,20230626,중개거래,동해시
강원특별자치도 동해시 부곡동,95-22,95,22,동화,62.35,202306,15,"5,800",4,1982,발한로 31-5,,중개거래,동해시
강원특별자치도 동해시 부곡동,126-1,126,1,삼정상가2차,59.94,202306,20,"7,237",10,1994,임항로 55,,직거래,-
강원특별자치도 동해시 부곡동,Aug-68,68,8,성지,93.36,202306,15,"7,300",3,1989,승지로 8,,중개거래,동해시
강원특별자치도 동해시 부곡동,5-82,5,82,일정골든타워,59.93,202306,2,"7,300",3,1996,해안로 449,,중개거래,동해시
강원특별자치도 동해시 북평동,233,233,0,성협4차,59.02,202306,5,"4,000",1,1992,6,,직거래,-
강원특별자치도 동해시 송정동,849-83,849,83,덕산,99.99,202306,23,"13,000",4,2009,송정중앙로 68,,중개거래,동해시
강원특별자치도 동해시 쇄운동,173-6,173,6,보배,37.35,202306,7,"3,500",14,1997,효자로 600-1,,중개거래,동해시
강원특별자치도 동해시 쇄운동,173-6,173,6,보배,37.35,202306,7,"3,500",14,1997,효자로 600-1,20230614,중개거래,동해시
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,39.08,202306,3,"6,150",13,2012, 572-1,,중개거래,강원 동해시
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,49.95,202306,12,"7,000",15,2012,효자로 572-1,,중개거래,동해시
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,49.95,202306,15,"7,400",8,2012,효자로 572-1,,중개거래,동해시
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,39.08,202306,23,"6,700",9,2012,효자로 572-1,,직거래,-
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,39.08,202306,23,"6,700",9,2012,효자로 572-1,,직거래,-
강원특별자치도 동해시 어달동,1-83,1,83,삼본임대,40.965,202306,15,"6,500",4,1996,해맞이길 231,,중개거래,동해시
강원특별자치도 동해시 어달동,1-83,1,83,삼본임대,22.84,202306,17,"4,350",5,1996,해맞이길 231,,중개거래,동해시
강원특별자치도 동해시 용정동,260-2,260,2,범주성지,59.92,202306,1,"8,200",3,1996,초원2길 5,,중개거래,동해시
강원특별자치도 동해시 이도동,751,751,0,동해아이파크,75.92,202306,1,"26,500",16,2018,배골길 32-4,,중개거래,동해시
강원특별자치도 동해시 이도동,751,751,0,동해아이파크,75.96,202306,2,"23,000",3,2018,배골길 32-4,,직거래,-
강원특별자치도 동해시 이도동,751,751,0,동해아이파크,59.95,202306,3,"22,800",15,2018,배골길 32-4,,중개거래,동해시
강원특별자치도 동해시 이도동,751,751,0,동해아이파크,75.92,202306,23,"26,000",5,2018,배골길 32-4,,중개거래,동해시
강원특별자치도 동해시 이도동,753,753,0,동해이도코아루더스카이,84.9416,202306,23,"28,500",5,2019,동해대로 4833,,중개거래,동해시
강원특별자치도 동해시 이도동,753,753,0,동해이도코아루더스카이,84.9464,202306,27,"25,500",12,2019,동해대로 4833,,중개거래,동해시
강원특별자치도 동해시 이도동,155,155,0,이도1주공,49.62,202306,12,"6,650",2,1999,이원길 180-2,,중개거래,동해시
강원특별자치도 동해시 이도동,155,155,0,이도1주공,49.62,202306,15,"6,800",13,1999,이원길 180-2,,중개거래,동해시
강원특별자치도 동해시 이도동,172,172,0,현대,59.97,202306,5,"10,000",13,1996,이원길 180,,중개거래,동해시
강원특별자치도 동해시 이로동,433-31,433,31,동해규수방,41.94,202306,10,"3,000",1,2007,월평로 49,,중개거래,동해시
강원특별자치도 동해시 천곡동,965-1,965,1,범주성지(가나),59.95,202306,17,"5,150",6,1994,감추1길 8,,중개거래,동해시
강원특별자치도 동해시 천곡동,1077,1077,0,삼성,84.98,202306,1,"13,500",1,1991,31,,중개거래,강원 동해시
강원특별자치도 동해시 천곡동,1077,1077,0,삼성,84.99,202306,7,"16,300",15,1991,대학로 31,,중개거래,동해시
강원특별자치도 동해시 천곡동,1004-1,1004,1,시영3차,49.94,202306,3,"5,150",1,1994,20,,중개거래,동해시
강원특별자치도 동해시 천곡동,942,942,0,쌍용,83.7,202306,20,"20,000",5,2000,동굴로 149,,중개거래,동해시
강원특별자치도 동해시 천곡동,942,942,0,쌍용,83.7,202306,30,"23,500",12,2000,동굴로 149,,중개거래,동해시
강원특별자치도 동해시 천곡동,1111,1111,0,천곡금호어울림라포레,64.7915,202306,6,"24,000",20,2020,항골길 65,,중개거래,동해시
강원특별자치도 동해시 천곡동,1080,1080,0,천곡주공1차,44.78,202306,22,"8,000",1,1983,천곡로 20,,중개거래,동해시
강원특별자치도 동해시 천곡동,1060-1,1060,1,천곡주공2차,49.22,202306,15,"9,900",4,1984,한섬로 87,,중개거래,동해시
